ID,Fleet,Status,GrossAmount,TripAdjusted,DiscountApplied,ExistingPassenger
357729,RideShare,Meter Off,6,No,0,Yes
357728,Black,Unable To Match,0,No,,
357727,Discount Cab,Unable To Match,0,No,,
357726,RideShare,Meter Off,16,No,0,Yes
357725,RideShare,Meter Off,6,No,0,Yes
357724,RideShare,Meter Off,56,No,0,Yes
357723,Accessible Van,Unable To Match,0,No,,
357722,Accessible Van,Unable To Match,0,No,,
357721,RideShare,Meter Off,7,No,0,Yes
357720,RideShare,Meter Off,8,No,0,Yes
357719,RideShare,Meter Off,6,No,0,Yes
357718,Discount Cab,Meter Off,16,No,0,Yes
357717,Discount Cab,Meter Off,14,No,0,Yes
357716,Discount Cab,Meter Off,46,No,0,Yes
357715,Discount Cab,Meter Off,13,No,10,Yes
357714,Discount Cab,Meter Off,11,No,0,Yes
357713,RideShare,Meter Off,18,No,0,Yes
357712,Discount Cab,Meter Off,37,No,0,Yes
357711,Discount Cab,Meter Off,12,No,3,Yes
357710,Discount Cab,Meter Off,11,No,0,Yes
357709,Discount Cab,Cancelled,0,No,,
357708,RideShare,Meter Off,1,No,10,No
357707,RideShare,Meter Off,11,No,0,Yes
357706,RideShare,Meter Off,9,No,0,Yes
357705,Discount Cab,Cancelled,0,No,,
357704,Discount Cab,Cancelled,0,No,,
357703,Discount Cab,Meter Off,26,No,0,Yes
357702,RideShare,Meter Off,22,Yes,0,Yes
357701,Accessible Van,Unable To Match,0,No,,
357700,Discount Cab,Unable To Match,0,No,,
357699,Discount Cab,Meter Off,11,No,10,Yes
357698,RideShare,Meter Off,15,No,0,Yes
357697,RideShare,Meter Off,8,No,0,Yes
357696,Discount Cab,Meter Off,12,No,0,Yes
357695,RideShare,Meter Off,13,No,0,Yes
357694,RideShare,Meter Off,38,No,0,Yes
357693,Discount Cab,Meter Off,32,No,0,Yes
357692,Discount Cab,Meter Off,20,No,0,Yes
357691,Discount Cab,Meter Off,18,No,10,Yes
357690,Discount Cab,Unable To Match,0,No,,
357689,Black,Meter Off,0,No,10,Yes
357688,Discount Cab,Meter Off,3,No,10,Yes
357687,SUV,Meter Off,0,No,70,Yes
357686,Discount Cab,Cancelled,0,No,,
357685,RideShare,Meter Off,21,No,0,Yes
357684,RideShare,Meter Off,8,No,0,Yes
357683,Discount Cab,Meter Off,19,No,0,Yes
357682,RideShare,Meter Off,13,No,0,Yes
357681,RideShare,Meter Off,19,No,10,No
357680,RideShare,Unable To Auth,0,No,,
357679,RideShare,Meter Off,10,No,0,Yes
357678,RideShare,Meter Off,16,No,0,Yes
357677,Accessible Van,Unable To Auth,0,No,,
357676,Discount Cab,Meter Off,13,No,0,Yes
357675,RideShare,Unable To Match,0,No,,
357674,RideShare,Meter Off,18,No,10,Yes
357673,Discount Cab,Meter Off,25,No,0,Yes
357672,Discount Cab,Meter Off,21,No,0,Yes
357671,Discount Cab,Unable To Auth,0,No,,
357670,RideShare,Unable To Auth,0,No,,
357669,RideShare,Unable To Auth,0,No,,
357668,RideShare,Unable To Auth,0,No,,
357667,Discount Cab,Unable To Auth,0,No,,
357666,Discount Cab,Meter Off,17,No,0,Yes
357665,Discount Cab,Meter Off,0,No,9,No
357664,RideShare,Unable To Match,0,No,,
357663,Discount Cab,Meter Off,35,No,20,No
357662,Discount Cab,Meter Off,15,No,0,Yes
357661,Discount Cab,Cancelled,0,No,,
357660,Discount Cab,Cancelled,10,No,,
357659,RideShare,Meter Off,16,No,0,Yes
357658,Discount Cab,Meter Off,0,No,9,Yes
357657,RideShare,Meter Off,17,No,0,Yes
357656,RideShare,Cancelled,0,No,,
357655,Discount Cab,Unable To Auth,0,No,,
357654,Discount Cab,Meter Off,0,No,12,No
357653,Discount Cab,Unable To Auth,0,No,,
357652,Discount Cab,Unable To Auth,0,No,,
357650,RideShare,Meter Off,1,No,10,Yes
357649,Discount Cab,Unable To Auth,0,No,,
357648,Discount Cab,Unable To Auth,0,No,,
357647,Discount Cab,Meter Off,75,No,0,Yes
357646,Accessible Van,Unable To Match,0,No,,
357645,Accessible Van,Unable To Match,0,No,,
357644,Discount Cab,Meter Off,9,No,0,Yes
357643,Discount Cab,Meter Off,0,Yes,0,Yes
357642,Discount Cab,Unable To Match,0,No,,
357641,Discount Cab,Meter Off,0,Yes,0,Yes
357640,RideShare,Meter Off,24,No,0,Yes
357639,Discount Cab,Unable To Match,0,No,,
357638,RideShare,Unable To Match,0,No,,
357637,RideShare,Unable To Auth,0,No,,
357636,RideShare,Meter Off,12,No,0,Yes
357635,RideShare,Meter Off,8,No,0,Yes
357634,RideShare,Meter Off,8,No,0,Yes
357633,Discount Cab,Meter Off,11,No,0,Yes
357632,Discount Cab,Meter Off,21,No,0,Yes
357631,RideShare,Meter Off,6,No,0,Yes
357630,Discount Cab,Unable To Auth,0,No,,
357629,RideShare,Meter Off,19,No,20,No
357628,Discount Cab,Meter Off,15,No,0,Yes
